id,date,text,user,location,geo,place,friends_count,followers_count,favorite_count,retweet_count,hashtags
1410017260299689988,2021-06-29 23:28:06,b'@Gigz Halo Infinite will be the death of D2 PVP if they don\xe2\x80\x99t get something going.',b'FurianEh',b'Canada',,,177,11,0,0,[]
1410016762335305728,2021-06-29 23:26:07,b'Played some halo today for the first time in forever. Was fun but have t decided which game I wanna grind more to g\xe2\x80\xa6 https://t.co/4TydxDc1wx',b'suddoth1',b'Pennsylvania',,,15791,18058,2,0,[]
1410016606688845833,2021-06-29 23:25:30,"b""I just found out that Halo Infinite will not have RvB multiplayer.\n\nThat means we'll be able to just see everyone's\xe2\x80\xa6 https://t.co/PDerOfM1N5""",b'SilentHillDude',"b'Chicago, IL'",,,333,593,1,0,[]
1410015681026965508,2021-06-29 23:21:49,"b""@ApollosMission After Cold War's lifespan is up later this year, I'm moving to Halo Infinite! Probably a better cho\xe2\x80\xa6 https://t.co/8zQ1dKMpxn""",b'BlubrryH20melon',b'The Void',,,238,18,1,0,[]
1410015200279924743,2021-06-29 23:19:55,b'I had a random desire to play Halo Infinite today and I\xe2\x80\x99m disgusted with myself \xf0\x9f\xa4\xa2',b'SirSiege',b'Central New Jersey',,,390,640,0,0,[]
1410014563437891586,2021-06-29 23:17:23,"b'@WorldsXbox Halo 5 Guardians. First playthrough, getting ready for Infinite!'",b'HobbyPlanet_',b'',,,72,21,0,0,[]
1410013049365299203,2021-06-29 23:11:22,b'@XboxWins1 Exactly! Episodic SP games such as AC Creed Series make a lot of sense for #XboxGamePass. To get all the\xe2\x80\xa6 https://t.co/r1BVPWJfNx',b'ElrondGaming',b'Canada',,,456,292,1,0,"[{'text': 'XboxGamePass', 'indices': [86, 99]}]"
1410012716702568450,2021-06-29 23:10:03,"b'NEW VIDEO!\n\nHalo Infinite Beta is coming sooner then you think\n\nIf you guys enjoyed it, drop a like or if you haven\xe2\x80\xa6 https://t.co/IdPyyUJ6JD'",b'Keys_eG',"b'Winnipeg, Canada'",,,428,345,0,0,[]
1410012339823337478,2021-06-29 23:08:33,"b""In all seriousness \nI'm pretty fuckin pumped for Halo Infinite but don't worry about me keeping this pfp for long\nI\xe2\x80\xa6 https://t.co/jmlimg0OnP""",b'That1HaloNerd',b'Delta Halo',,,3974,358,1,0,[]
1410011680675962880,2021-06-29 23:05:56,"b""@GameSpot Don't matter to me. Games like halo infinite, forza 5, and stalker 2 will keep me busy""",b'CHRISTO76981380',b'',,,56,4,0,0,[]
1410011592184455173,2021-06-29 23:05:34,b'@mysterywinterfx Gotta get prepped to see Halo Infinite Chief booty in 4k lol https://t.co/yvMRv4QMKr',b'That1HaloNerd',b'Delta Halo',,,3974,358,1,0,[]
1410011462374932481,2021-06-29 23:05:04,"b""The recent Inside Infinite article has specific wording on the future of your Spartan's future in the narrative.\n\nW\xe2\x80\xa6 https://t.co/5PQ9Qqyxsp""",b'sacrediconpod',b'',,,987,6555,14,2,[]
1410011187434201088,2021-06-29 23:03:58,b'Did someone say Halo Infinite flight? Oh....next time then.... | Halo 5 | !hype !dance !crabs  https://t.co/O3wSfIZcjm',b'SpartanBoomer',b'',,,253,69,0,0,[]
1410010260656562181,2021-06-29 23:00:17,b'Halo Infinite may not have a release date yet because it is waiting on other games\n\nhttps://t.co/Vt0gowCq4t https://t.co/UDpUHzd11g',b'joeriwagner',b'Nederland',,,81,97,0,0,[]
1410010160806961159,2021-06-29 22:59:53,"b""I stg if Master Chief isn't shown some lights to look at and asked if he wants his controls inverted at the start of Halo Infinite, 0/10""",b'wisereddragon',"b'Cape Cod, United States'",,,860,500,3,0,[]
1410010138619039745,2021-06-29 22:59:48,b'@TheShyway I\xe2\x80\x99ve never payed this much attention to detail when playing halo multiplayer.. but you provide so much i\xe2\x80\xa6 https://t.co/pXzGhZE946',b'jgleason45',b'United States',,,472,40,1,0,[]
1410009774872313861,2021-06-29 22:58:21,b'@TheShyway is already breaking down Halo: Infinite gameplay before we\xe2\x80\x99ve seen a full game. This is the shit I like\xe2\x80\xa6 https://t.co/ORaDlgvF4Q',b'koganly',"b'Manchester, CT'",,,222,116,0,0,[]
1410009470202257414,2021-06-29 22:57:09,b'\xf0\x9f\x94\xa5Check Out a New Ep. Of AGS LIVE RIGHT NOW\xf0\x9f\x94\xa5\n\nHalo Infinite | Derek Chauvin Sentenced | PS5 Sales Expected To Skyroc\xe2\x80\xa6 https://t.co/JBpvWUdbVb',b'hard8_times',"b'Bethlehem, GA'",,,599,2607,4,1,[]
1410009323728687105,2021-06-29 22:56:34,b'@CaraMachete @okhvii @laker_real @GameSpot Flight simulator.\nPhysocanauts 2\nForza 5\nHalo infinite\n12 minutes\nScorn\xe2\x80\xa6 https://t.co/V6vaxdTL3O',b'marvino88790776',b'',,,35,3,0,0,[]
1410009252937146379,2021-06-29 22:56:17,b'@PretzelJones @donfazelasheem @AEGRO_84 Kind of like crackdown 3 was delayed to make it the best game? Or that BS w\xe2\x80\xa6 https://t.co/PvSEMPJNx4',b'garyvan1968',b'',,,120,7,0,0,[]
1410008863290626051,2021-06-29 22:54:44,"b'Holding on to a powerup in Halo Infinite is a great advantage, if you can safely acquire one. \n\nThe added risks her\xe2\x80\xa6 https://t.co/IHt3FlYGoo'",b'TheShyway',"b'Toronto, Ontario'",,,1534,6857,43,2,[]
1410008699305971712,2021-06-29 22:54:05,b'@GIGGLECORP Halo Infinite is going to be bad and everyone over hyping it is just going to create another Cyberpunk.',b'anna_sfw',b'',,,628,47,0,0,[]
1410007825691021314,2021-06-29 22:50:36,b'The Mark VII helmet looks absolutely gorgeous! It is my favorite helmet made by 343. It\xe2\x80\x99s the perfect blend of both\xe2\x80\xa6 https://t.co/gNXAtngXxD',b'MB_AngelOfDeath',b'Reach',,,565,391,1,0,[]
1410007769160327171,2021-06-29 22:50:23,"b""@danchriswill I've actually seen a lot on this and it's really really really on my radar. It was a contender for my\xe2\x80\xa6 https://t.co/HqNMvHVtUv""",b'joeysisco',"b'Halifax, Nova Scotia'",,,554,900,1,0,[]
1410007196440485888,2021-06-29 22:48:06,b'@xMBGx You know what things is big? Your bank account with the money you saved from subscribing to Game Pass. Start\xe2\x80\xa6 https://t.co/wqTfdi6AO3',b'Rayman1024u',b'',,,60,48,2,0,[]
1410006583107543044,2021-06-29 22:45:40,b'Personally I would love to see a firefight like game mode appear in Halo Infinite...',b'LegacyEleven',"b'London, UK'",,,133,546,1,0,[]
1410006020269686791,2021-06-29 22:43:26,"b'Wild how all the new UNSC guns in Halo 4 are stellar\n\nThe SAW, the Sticky Detonator, the fucking R A I L G U N\n\nAll\xe2\x80\xa6 https://t.co/hd15K5WWqM'",b'DumbCerb',b'\xe3\x83\x98\xe3\x82\xbd\xe3\x81\xa7\xe3\x82\x82\xe5\x99\x9b\xe3\x82\x93\xe3\x81\xa7\xe6\xad\xbb\xe3\x82\x93\xe3\x81\x98\xe3\x82\x83\xe3\x81\x88\xe3\x81\xb0\xe3\x81\x81?',,,1758,2421,7,1,[]
1410005927722426374,2021-06-29 22:43:04,b'@GAMEOVER_Gow1 @llMr3z Halo the infinite sleeping',b'Abdulrahman0Qa',b'Qatar',,,81,46,1,0,[]
1410005925159702531,2021-06-29 22:43:03,b'@j1991_david @GamingTwic @TPorgan @GameSpot Halo Infinite will have a full campaign at launch. It will be fantastic\xe2\x80\xa6 https://t.co/76rVev1cil',b'Misanthrope1231',b'',,,259,30,1,0,[]
1410005517691465729,2021-06-29 22:41:26,b'@XboxSoftmodKit Halo: combat is infinite',b'alchanqo',b'Zeta halo',,,91,21,0,0,[]
1410004741325824001,2021-06-29 22:38:21,"b'Halo Infinite is gonna be special, honestly can\xe2\x80\x99t wait'",b'Hours203',"b'Connecticut, USA'",,,572,663,2,0,[]
1410003379754000388,2021-06-29 22:32:56,b'Check it out. \nNew video playing Halo Infinite.. in Halo 5\nhttps://t.co/P9iHWAIVLV https://t.co/KpMtjrWD7E',b'RapscallionHalo',b'',,,434,527,2,0,[]
1410002633117650949,2021-06-29 22:29:58,b'@BigRobEnergy @Halo True. The younger audience that comes from TikTok is just so unaware of the greatness of Halo \xf0\x9f\x98\x82\xe2\x80\xa6 https://t.co/JWwuBjxlar',b'iamrobtv',"b'Mobile, AL'",,,35,27,1,0,[]
1410002196972851204,2021-06-29 22:28:14,b'@MrBeast https://t.co/lMKHFmP1k6. I make Pok\xc3\xa9mon go content and used to do Rubik\xe2\x80\x99s cube videos. Check it out if you\xe2\x80\xa6 https://t.co/5FZ378vX1x',b'rubiksguy',b'',,,312,147,0,0,[]
1410002148402757634,2021-06-29 22:28:03,b'Halo Infinite VR May Be Coming As 343 Hires Halo VR Mod Maker https://t.co/ToM4O0soHI',b'2021Rcfc',b'',,,1947,1056,0,0,[]
1410002140827951109,2021-06-29 22:28:01,"b'@MaxK1989 @davidscottjaffe Halo Infinite, Flight Sim, and Forza Horizon 5 are all AAA games games coming out in 2021.'",b'PullnPray',b'',,,466,86,1,0,[]
1410001215333797895,2021-06-29 22:24:20,"b""@JackaryDraws I'm playing Fire Emblem Echoes, looking forward to Halo Infinite and I'm planning on making my lights\xe2\x80\xa6 https://t.co/qcf0WwZKLv""",b'TheAshenJedi',"b'New York, USA'",,,170,37,0,0,[]
1409999985328984067,2021-06-29 22:19:27,b'@Cody_Dragon @CVUMwood I will definitely be somewhere for Halo Infinite launch AND expect a COFC LAN next spring',b'jamaican116',"b'Charleston, SC'",,,988,1773,3,0,[]
1409999486965923846,2021-06-29 22:17:28,b'@LORDOFSUCC1 @mrgruntington Blocked me too lmao. He loves to spout his opinion about how Infinite is pandering to c\xe2\x80\xa6 https://t.co/STMLWtNAVZ',b'Guriinman',b'Tokyo 3',,,218,74,1,0,[]
1409998353413414916,2021-06-29 22:12:58,"b""@Halopedia I think we'll see this version in Halo infinite""",b'Jaimeicefire177',"b'Bogot\xc3\xa1, D.C., Colombia'",,,2148,115,0,0,[]
1409998177302892547,2021-06-29 22:12:16,b'- Back4Blood\n- Forza Horizon 5\n- The Ascent\n- LiF: True color\n- 12 minutes\n- Hades\n- MS Flight Simulator\n- Psychona\xe2\x80\xa6 https://t.co/f4DPw5lzmo',b'SwanNoble',b'France',,,158,229,3,0,[]
